GKZ;Gemeindename;BEZEICHNUNG
60209;Kapfenberg;12.-Februar-Straße
60210;Mariazell;Abt Otker-Gasse
60210;Mariazell;Abt Severin-Gasse
60209;Kapfenberg;Adalbert-Stifter-Straße
60213;Pernegg an der Mur;Adam Mölck-Weg
60212;Parschlug;Adamerweg
60209;Kapfenberg;Adolf-Loos-Weg
60201;Aflenz Kurort;Aflenz Kurort
60201;Aflenz Kurort;Aflenz Kurort Fölz
60211;Oberaich;Aichberghöhe
60211;Oberaich;Aichbergstraße
60204;Bruck an der Mur;Akazienweg
60212;Parschlug;Alaungrubenweg
60209;Kapfenberg;Albert-Böhler-Gasse
60212;Parschlug;Alexander-Silveri-Straße
60209;Kapfenberg;Alfons-Petzold-Gasse
60213;Pernegg an der Mur;Allee
60209;Kapfenberg;Alois-Lafer-Gasse
60203;Breitenau am Hochlantsch;Alois-Schwach-Siedlung
60204;Bruck an der Mur;Alte Wehrstraße
60207;Gußwerk;Alter Bad-Weg
60204;Bruck an der Mur;Altersheimgasse
60216;Sankt Lorenzen im Mürztal;Alt-Hadersdorf
60211;Oberaich;Alt-Mitteraich
60211;Oberaich;Am Aichberg
60212;Parschlug;Am Anger
60211;Oberaich;Am Bach
60218;Sankt Sebastian;Am Buchenkogel
60203;Breitenau am Hochlantsch;Am Eibegg
60212;Parschlug;Am Flöz
60218;Sankt Sebastian;Am Fluder
60218;Sankt Sebastian;Am Föhrenberg
60204;Bruck an der Mur;Am Grazer Tor
60204;Bruck an der Mur;Am Hang
60213;Pernegg an der Mur;Am Hang
60218;Sankt Sebastian;Am Hechtensee
60204;Bruck an der Mur;Am Hochanger
60213;Pernegg an der Mur;Am Hofacker
60209;Kapfenberg;Am Höllhammer
60213;Pernegg an der Mur;Am Kaserbach
60213;Pernegg an der Mur;Am Kirchkogel
60213;Pernegg an der Mur;Am Klammweg
60218;Sankt Sebastian;Am Köckensattel
60212;Parschlug;Am Kreuzacker
60210;Mariazell;Am Kreuzberg
60204;Bruck an der Mur;Am Kruckenfeld
60203;Breitenau am Hochlantsch;Am Leitnergrund
60212;Parschlug;Am Moos
60216;Sankt Lorenzen im Mürztal;Am Moos
60217;Sankt Marein im Mürztal;Am Mühlberg
60213;Pernegg an der Mur;Am Murfeld
60209;Kapfenberg;Am Pichl
60207;Gußwerk;Am Postplatzl
60217;Sankt Marein im Mürztal;Am Ried
60209;Kapfenberg;Am Sagacker
60204;Bruck an der Mur;Am Schiffertor
60218;Sankt Sebastian;Am Sonnenhang
60213;Pernegg an der Mur;Am Stausee
60216;Sankt Lorenzen im Mürztal;Am Stollingbach
60217;Sankt Marein im Mürztal;Am Stollingbach
60203;Breitenau am Hochlantsch;Am Straßegg
60216;Sankt Lorenzen im Mürztal;Am Straßenfeld
60212;Parschlug;Am Tauchnergrund
60213;Pernegg an der Mur;Am Teichbach
60216;Sankt Lorenzen im Mürztal;Am Weinberg
60204;Bruck an der Mur;Am Wiener Tor
60213;Pernegg an der Mur;Am Wiesengrund
60207;Gußwerk;Am Wiesenweg
60218;Sankt Sebastian;Am Zellerrain
60209;Kapfenberg;Amselweg
60211;Oberaich;Amselweg
60218;Sankt Sebastian;An der Forststraße
60218;Sankt Sebastian;An der Museumsbahn
60204;Bruck an der Mur;An der Postwiese
60217;Sankt Marein im Mürztal;Andreas-Hofer-Straße
60210;Mariazell;Annaburg
60210;Mariazell;Anton Bruckner-Gasse
60216;Sankt Lorenzen im Mürztal;Anton Pirchegger-Weg
60209;Kapfenberg;Anton-Afritsch-Weg
60209;Kapfenberg;Anton-Bruckner-Straße
60209;Kapfenberg;Anton-Buchalka-Straße
60213;Pernegg an der Mur;Antoniaweg
60211;Oberaich;Antonistraße
60209;Kapfenberg;Anton-Mühlbacher-Straße
60209;Kapfenberg;Anton-Paar-Siedlung
60204;Bruck an der Mur;Anzengrubergasse
60217;Sankt Marein im Mürztal;Anzengrubergasse
60204;Bruck an der Mur;Apfelgasse
60209;Kapfenberg;Arndorf
60209;Kapfenberg;Arndorfer Leiten
60204;Bruck an der Mur;Arndorfer Straße
60209;Kapfenberg;Arndorfer Weg
60218;Sankt Sebastian;Arnstorfer Bühel
60210;Mariazell;Arthur Krupp-Platz
60207;Gußwerk;Aschbach
60221;Turnau;Au bei Turnau
60209;Kapfenberg;Auer-von-Welsbach-Weg
60204;Bruck an der Mur;Auf der Schweizeben
60204;Bruck an der Mur;Auf der Sonnwiese
60212;Parschlug;Auf der Weide
60216;Sankt Lorenzen im Mürztal;August Musger-Weg
60209;Kapfenberg;Auweg
60213;Pernegg an der Mur;Auweg
60217;Sankt Marein im Mürztal;Auweg
60204;Bruck an der Mur;Bachgasse
60209;Kapfenberg;Bachgasse
60213;Pernegg an der Mur;Bachweg
60216;Sankt Lorenzen im Mürztal;Bachweg
60218;Sankt Sebastian;Bachweg
60217;Sankt Marein im Mürztal;Bäckergasse
60213;Pernegg an der Mur;Badgasse
60203;Breitenau am Hochlantsch;Bahngasse
60204;Bruck an der Mur;Bahnhofstraße
60207;Gußwerk;Bahnhofstraße
60217;Sankt Marein im Mürztal;Bahnhofstraße
60218;Sankt Sebastian;Bahnhofstraße
60218;Sankt Sebastian;Bahnpromenade
60209;Kapfenberg;Bahnstraße
60213;Pernegg an der Mur;Bahnstraße
60204;Bruck an der Mur;Bahnweg
60212;Parschlug;Barbarastraße
60204;Bruck an der Mur;Barbaraweg
60213;Pernegg an der Mur;Bärenschütz
60204;Bruck an der Mur;Baumschulgasse
60204;Bruck an der Mur;Bayerhofstraße
60209;Kapfenberg;Beethovenstraße
60204;Bruck an der Mur;Beethovenweg
60204;Bruck an der Mur;Bergbaustraße
60202;Aflenz Land;Bergerbauer
60209;Kapfenberg;Berggasse
60218;Sankt Sebastian;Berggasse
60212;Parschlug;Bergsiedlung
60204;Bruck an der Mur;Bergstraße
60217;Sankt Marein im Mürztal;Bergweg
60212;Parschlug;Bernerweg
60216;Sankt Lorenzen im Mürztal;Beuttnerweg
60210;Mariazell;Bibergasse
60204;Bruck an der Mur;Bienengasse
60204;Bruck an der Mur;Bienensteinstraße
60210;Mariazell;Bilgeriweg
60217;Sankt Marein im Mürztal;Bindergasse
60213;Pernegg an der Mur;Biogasse
60204;Bruck an der Mur;Birkengasse
60209;Kapfenberg;Birkensiedlung
60213;Pernegg an der Mur;Birkenweg
60204;Bruck an der Mur;Blumengasse
60213;Pernegg an der Mur;Blumengasse
60211;Oberaich;Blütenweg
60211;Oberaich;Bodenwiese
60209;Kapfenberg;Böhlerdurplatz
60217;Sankt Marein im Mürztal;Böhlerstraße
60209;Kapfenberg;Böhler-Welding-Straße
60207;Gußwerk;Bohrwerk
60212;Parschlug;Brachäckerweg
60204;Bruck an der Mur;Brahmsgasse
60209;Kapfenberg;Brahmsgasse
60217;Sankt Marein im Mürztal;Brahmsgasse
60207;Gußwerk;Brandhof
60204;Bruck an der Mur;Brandstetterstraße
60208;Halltal;Braschlweg
60209;Kapfenberg;Bräuerleiten
60209;Kapfenberg;Brauhausgasse
60204;Bruck an der Mur;Braunschmiedgasse
60203;Breitenau am Hochlantsch;Breitenauer Straße
60213;Pernegg an der Mur;Breitlerweg
60209;Kapfenberg;Breitnergasse
60204;Bruck an der Mur;Brückengasse
60209;Kapfenberg;Brückengasse
60217;Sankt Marein im Mürztal;Brückengasse
60213;Pernegg an der Mur;Brückenweg
60211;Oberaich;Brucker Straße
60213;Pernegg an der Mur;Brucker Straße
60204;Bruck an der Mur;Brucknergasse
60209;Kapfenberg;Brunnengasse
60213;Pernegg an der Mur;Brunnengasse
60217;Sankt Marein im Mürztal;Brunnenweg
60212;Parschlug;Brunnerweg
60210;Mariazell;Brünnerweg
60204;Bruck an der Mur;Buchenweg
60213;Pernegg an der Mur;Buchenweg
60209;Kapfenberg;Buchmoarweg
60213;Pernegg an der Mur;Bundesstraße
60216;Sankt Lorenzen im Mürztal;Bundesstraße
60218;Sankt Sebastian;Bundesstraße
60201;Aflenz Kurort;Bürgeralm
60210;Mariazell;Bürgeralpe
60204;Bruck an der Mur;Burggasse
60213;Pernegg an der Mur;Burgstall
60209;Kapfenberg;Burgstallweg
60204;Bruck an der Mur;Carl-Morre-Gasse
60209;Kapfenberg;Carl-Morre-Straße
60209;Kapfenberg;Dammweg
60209;Kapfenberg;DDr.-Alfred-Schachner-Hof
60204;Bruck an der Mur;Demarstraße
60209;Kapfenberg;Deuchendorf
60210;Mariazell;Deutschmeisterweg
60209;Kapfenberg;DI.-Karl-Waldbrunner-Hof
60209;Kapfenberg;Diemlacher Weg
60209;Kapfenberg;Dohlengasse
60202;Aflenz Land;Döllach
60213;Pernegg an der Mur;Dörfl
60202;Aflenz Land;Dörflach
60211;Oberaich;Dorfweg
60210;Mariazell;Dr. Karl Lueger-Gasse
60210;Mariazell;Dr. Ludwig Leber-Straße
60216;Sankt Lorenzen im Mürztal;Dr. Reinhard Machold-Straße
60210;Mariazell;Dr. Rudolf Griß Weg
60209;Kapfenberg;Dr.-Alfons-Gorbach-Hof
60212;Parschlug;Dr.-Franz-Unger-Siedlung
60209;Kapfenberg;Dr.-h.c.-Reinhard-Machold-Hof
60209;Kapfenberg;Dr.-Josef-Sperl-Straße
60204;Bruck an der Mur;Dr.-Karl-Renner-Straße
60217;Sankt Marein im Mürztal;Dr.-Karl-Renner-Straße
60209;Kapfenberg;Dr.-Kloepfer-Weg
60204;Bruck an der Mur;Dr.-Lueger-Straße
60204;Bruck an der Mur;Dr.-Theodor-Körner-Straße
60204;Bruck an der Mur;Drahtgasse
60202;Aflenz Land;Draiach
60209;Kapfenberg;Drosselgasse
60216;Sankt Lorenzen im Mürztal;Dunklweg
60207;Gußwerk;Dürradmer
60204;Bruck an der Mur;Dürrnbergweg
60210;Mariazell;E. Rohrbacher-Gasse
60216;Sankt Lorenzen im Mürztal;Edelackerstraße
60212;Parschlug;Edelmannweg
60203;Breitenau am Hochlantsch;Eibeggsiedlung
60209;Kapfenberg;Eichensiedlung
60213;Pernegg an der Mur;Eichenweg
60216;Sankt Lorenzen im Mürztal;Eichenweg
60204;Bruck an der Mur;Einöd
60204;Bruck an der Mur;Einödfeld
60204;Bruck an der Mur;Einödgasse
60213;Pernegg an der Mur;Eisenpaßstraße
60204;Bruck an der Mur;Eisenwerkgasse
60209;Kapfenberg;Emberg bei Kapfenberg
60209;Kapfenberg;Emberg-Nord
60209;Kapfenberg;Embergsiedlung
60209;Kapfenberg;Emberg-Süd
60209;Kapfenberg;Enge Gasse
60217;Sankt Marein im Mürztal;Eppensteinerweg
60203;Breitenau am Hochlantsch;Erhardstraße
60204;Bruck an der Mur;Erich-Schmid-Straße
60218;Sankt Sebastian;Erlaufseestraße
60204;Bruck an der Mur;Erlenweg
60216;Sankt Lorenzen im Mürztal;Erlenweg
60218;Sankt Sebastian;Erlenweg
60210;Mariazell;Erzherzog Johann-Weg
60216;Sankt Lorenzen im Mürztal;Erzherzog Johann-Weg
60204;Bruck an der Mur;Erzherzog-Johann-Gasse
60217;Sankt Marein im Mürztal;Erzherzog-Johann-Straße
60205;Etmißl;Etmißl
60204;Bruck an der Mur;Etzersteig
60204;Bruck an der Mur;E-Werkstraße
60213;Pernegg an der Mur;E-Werkstraße
60204;Bruck an der Mur;Fabriksgasse
60209;Kapfenberg;Falkengasse
60207;Gußwerk;Fallenstein
60209;Kapfenberg;Fehrenbergweg
60210;Mariazell;Feichteggerwiese
60213;Pernegg an der Mur;Feisterergraben
60202;Aflenz Land;Feistring
60218;Sankt Sebastian;Feldbauerweg
60204;Bruck an der Mur;Feldgasse
60209;Kapfenberg;Feldgasse
60218;Sankt Sebastian;Feldgasse
60207;Gußwerk;Feldspitz
60212;Parschlug;Feldweg
60213;Pernegg an der Mur;Feldweg
60209;Kapfenberg;Ferdinand-Hanusch-Gasse
60217;Sankt Marein im Mürztal;Ferdinand-Raimund-Weg
60216;Sankt Lorenzen im Mürztal;Festwiesenweg
60213;Pernegg an der Mur;Fichtengasse
60211;Oberaich;Fichtenweg
60209;Kapfenberg;Finkenweg
60210;Mariazell;Fischer von Erlach-Weg
60204;Bruck an der Mur;Fleischhackeralm
60218;Sankt Sebastian;Fleschweg
60213;Pernegg an der Mur;Fliedergasse
60209;Kapfenberg;Floning
60211;Oberaich;Florianiweg
60204;Bruck an der Mur;Flurgasse
60209;Kapfenberg;Flurgasse
60216;Sankt Lorenzen im Mürztal;Flurgasse
60213;Pernegg an der Mur;Flurweg
60211;Oberaich;Föhrenweg
60219;Thörl;Fölz
60211;Oberaich;Forstwald
60211;Oberaich;Forstwaldstraße
60211;Oberaich;Forstweg
60210;Mariazell;Franz Schubert-Gasse
60209;Kapfenberg;Franz-Domes-Gasse
60209;Kapfenberg;Franz-Eibel-Straße
60213;Pernegg an der Mur;Franzensweg
60209;Kapfenberg;Franz-Liszt-Straße
60204;Bruck an der Mur;Franz-Liszt-Weg
60209;Kapfenberg;Franz-Nabl-Weg
60206;Frauenberg;Frauenberg
60209;Kapfenberg;Frauenriegelgasse
60209;Kapfenberg;Frauenwiese
60204;Bruck an der Mur;Fraunedergasse
60208;Halltal;Freingraben
60207;Gußwerk;Freistättersiedlung
60204;Bruck an der Mur;Fridrichallee
60204;Bruck an der Mur;Fridrichplatzl
60210;Mariazell;Friedhofgasse
60209;Kapfenberg;Friedhofweg
60209;Kapfenberg;Friedlwiese
60209;Kapfenberg;Friedrich-Böhler-Straße
60204;Bruck an der Mur;Friedrich-Ludwig-Jahn-Straße
60216;Sankt Lorenzen im Mürztal;Fuscht
60204;Bruck an der Mur;Gabelsbergergasse
60213;Pernegg an der Mur;Gabraun
60204;Bruck an der Mur;Gallerbergweg
60204;Bruck an der Mur;Gartengasse
60209;Kapfenberg;Gartengasse
60218;Sankt Sebastian;Gartengasse
60213;Pernegg an der Mur;Gartenweg
60204;Bruck an der Mur;Gärtnereiweg
60209;Kapfenberg;Gärtnergasse
60216;Sankt Lorenzen im Mürztal;Gärtnerweg
60217;Sankt Marein im Mürztal;Gärtnerweg
60216;Sankt Lorenzen im Mürztal;Gassing
60204;Bruck an der Mur;Genossenschaftsweg
60209;Kapfenberg;Gewerbestraße
60213;Pernegg an der Mur;Gewerbestraße
60217;Sankt Marein im Mürztal;Gewerbestraße
60209;Kapfenberg;Geyereckgasse
60207;Gußwerk;Gleißnerhof
60204;Bruck an der Mur;Gloriettsiedlung
60204;Bruck an der Mur;Gloriettweg
60213;Pernegg an der Mur;Göberlmoar
60209;Kapfenberg;Goethegasse
60204;Bruck an der Mur;Goethestraße
60207;Gußwerk;Gollrad
60221;Turnau;Göriach
60212;Parschlug;Göritz
60212;Parschlug;Göritzer Straße
60218;Sankt Sebastian;Göschlhofweg
60212;Parschlug;Gösslweg
60204;Bruck an der Mur;Grabenfeldstraße
60209;Kapfenberg;Grabengasse
60208;Halltal;Gracherhof
60206;Frauenberg;Graschnitzgraben
60217;Sankt Marein im Mürztal;Graschnitzstraße
60209;Kapfenberg;Graschnitzweg
60202;Aflenz Land;Graßnitz
60204;Bruck an der Mur;Grazer Straße
60209;Kapfenberg;Grazer Straße
60210;Mariazell;Grazer Straße
60213;Pernegg an der Mur;Grazer Straße
60207;Gußwerk;Greith
60216;Sankt Lorenzen im Mürztal;Grenzstraße
60217;Sankt Marein im Mürztal;Grenzstraße
60204;Bruck an der Mur;Grillparzerstraße
60209;Kapfenberg;Grillparzerstraße
60217;Sankt Marein im Mürztal;Grimmstraße
60211;Oberaich;Gröbl-Platz
60218;Sankt Sebastian;Grünauer Straße
60207;Gußwerk;Grüner Baum
60204;Bruck an der Mur;Grünfeldgasse
60213;Pernegg an der Mur;Gscheidbacherweg
60207;Gußwerk;Gschöder
60209;Kapfenberg;Gugga
60209;Kapfenberg;Guggasiedlung
60209;Kapfenberg;Gustav-Kramer-Straße
60209;Kapfenberg;Gustav-Mahler-Weg
60218;Sankt Sebastian;Habertheuerstraße
60209;Kapfenberg;Hafendorf
60209;Kapfenberg;Hainweg
60208;Halltal;Halltal
60211;Oberaich;Hangweg
60218;Sankt Sebastian;Hangweg
60216;Sankt Lorenzen im Mürztal;Hans Kloepfer-Gasse
60210;Mariazell;Hans Laufenstein-Weg
60210;Mariazell;Hans Wertanek-Promenade
60204;Bruck an der Mur;Hans-Prasser-Gasse
60209;Kapfenberg;Hans-Resel-Gasse
60209;Kapfenberg;Hans-Roch-Weg
60212;Parschlug;Haritzmeierstraße
60207;Gußwerk;Härtehammer
60210;Mariazell;Hauptplatz
60217;Sankt Marein im Mürztal;Hauptplatz
60210;Mariazell;Hauptplatz-Laden
60207;Gußwerk;Hauptstraße
60216;Sankt Lorenzen im Mürztal;Hauptstraße
60217;Sankt Marein im Mürztal;Hauptstraße
60204;Bruck an der Mur;Haydngasse
60209;Kapfenberg;Haydngasse
60213;Pernegg an der Mur;Haydngasse
60216;Sankt Lorenzen im Mürztal;Haydngasse
60204;Bruck an der Mur;Heberplatzl
60210;Mariazell;Heiligen Brunn-Gasse
60210;Mariazell;Heiligenbrunngasse-Laden
60204;Bruck an der Mur;Heimbauweg
60209;Kapfenberg;Heimgasse
60209;Kapfenberg;Heimsiedlung
60216;Sankt Lorenzen im Mürztal;Heimsiedlung
60209;Kapfenberg;Heimsiedlungsgasse
60218;Sankt Sebastian;Heimweg
60209;Kapfenberg;Heinrich-Scheibengraf-Straße
60213;Pernegg an der Mur;Heitzerweg
60210;Mariazell;Helleportweg
60204;Bruck an der Mur;Hermann-Löns-Gasse
60209;Kapfenberg;Hermann-Löns-Straße
60216;Sankt Lorenzen im Mürztal;Herrenbergweg
60204;Bruck an der Mur;Herzog-Ernst-Gasse
60211;Oberaich;Heuberg
60204;Bruck an der Mur;Heubergstraße
60213;Pernegg an der Mur;Heubergstraße
60219;Thörl;Hinterberg
60204;Bruck an der Mur;Hochfeldgasse
60207;Gußwerk;Hochschwabstraße
60213;Pernegg an der Mur;Hofackerstraße
60216;Sankt Lorenzen im Mürztal;Hofäckerweg
60217;Sankt Marein im Mürztal;Hofweg
60204;Bruck an der Mur;Hoher Markt
60207;Gußwerk;Höll
60204;Bruck an der Mur;Höllhammerweg
60204;Bruck an der Mur;Hubertusstraße
60203;Breitenau am Hochlantsch;Hubertusweg
60216;Sankt Lorenzen im Mürztal;Hugo Wolf-Straße
60209;Kapfenberg;Hugo-v.-Hofmannsthal-Weg
60204;Bruck an der Mur;Hugo-von-Montfort-Gasse
60209;Kapfenberg;Hugo-Wolf-Straße
60215;Sankt Katharein an der Laming;Hüttengraben
60209;Kapfenberg;Ignaz-Semmelweis-Weg
60209;Kapfenberg;Igo-Etrich-Straße
60204;Bruck an der Mur;Im Glanzgraben
60212;Parschlug;In der Grube
60218;Sankt Sebastian;In der Grünau
60204;Bruck an der Mur;Industriegasse
60209;Kapfenberg;Industriepark
60213;Pernegg an der Mur;Industriestraße
60217;Sankt Marein im Mürztal;Industriestraße
60209;Kapfenberg;Industriestraße Ost
60209;Kapfenberg;Industriestraße West
60204;Bruck an der Mur;Jägergasse
60217;Sankt Marein im Mürztal;Jägergasse
60202;Aflenz Land;Jauring
60216;Sankt Lorenzen im Mürztal;Jaxstraße
60213;Pernegg an der Mur;Jobstmanngasse
60212;Parschlug;Johann Graf-Gasse
60209;Kapfenberg;Johann-Böhm-Straße
60209;Kapfenberg;Johann-Brandl-Gasse
60209;Kapfenberg;Johannes-Kepler-Weg
60207;Gußwerk;Johannesplatz
60216;Sankt Lorenzen im Mürztal;Johannesweg
60204;Bruck an der Mur;Johann-Fux-Straße
60209;Kapfenberg;Johann-Josef-Fux-Straße
60209;Kapfenberg;Johann-Nestroy-Straße
60204;Bruck an der Mur;Johann-Strauß-Gasse
60209;Kapfenberg;Johann-Strauß-Gasse
60217;Sankt Marein im Mürztal;Johann-Strauß-Weg
60204;Bruck an der Mur;Josef-Graf-Gasse
60209;Kapfenberg;Josefine-Kettler-Gasse
60209;Kapfenberg;Josef-Madersperger-Weg
60209;Kapfenberg;Josef-Scheu-Straße
60209;Kapfenberg;Josef-Stanek-Gasse
60210;Mariazell;Joseph Haydn-Gasse
60216;Sankt Lorenzen im Mürztal;Joseph Ressel-Weg
60210;Mariazell;K.E.Tisserant-Platz
60212;Parschlug;Käferweg
60204;Bruck an der Mur;Kaltbach
60204;Bruck an der Mur;Kaltbachsiedlung
60204;Bruck an der Mur;Kaltbachstraße
60204;Bruck an der Mur;Kaltschmidstraße
60210;Mariazell;Kalvarienberg
60204;Bruck an der Mur;Kalvarienbergweg
60218;Sankt Sebastian;Kapellerweg
60210;Mariazell;Karl Heinschild-Weg
60216;Sankt Lorenzen im Mürztal;Karl Morre-Straße
60209;Kapfenberg;Karl-Heinrich-Waggerl-Weg
60209;Kapfenberg;Karl-Maisel-Hof
60209;Kapfenberg;Karl-Schöberl-Hof
60209;Kapfenberg;Karl-Seitz-Gasse
60210;Mariazell;Karmelweg
60213;Pernegg an der Mur;Karnerberg
60216;Sankt Lorenzen im Mürztal;Kastenfeldweg
60209;Kapfenberg;Kehr
60209;Kapfenberg;Kendlbachstraße
60204;Bruck an der Mur;Keplerstraße
60207;Gußwerk;Kernboden
60209;Kapfenberg;Kernstockgasse
60212;Parschlug;Kieneggerweg
60213;Pernegg an der Mur;Kirchdorf
60218;Sankt Sebastian;Kirchenweg
60204;Bruck an der Mur;Kirchplatz
60207;Gußwerk;Kirchplatz
60217;Sankt Marein im Mürztal;Kirchweg
60203;Breitenau am Hochlantsch;Klammgraben
60213;Pernegg an der Mur;Klammweg
60212;Parschlug;Klaworaweg
60216;Sankt Lorenzen im Mürztal;Klosterweg
60207;Gußwerk;Knappengraben
60212;Parschlug;Knappenweg
60203;Breitenau am Hochlantsch;Knollgraben
60204;Bruck an der Mur;Knottingerstraße
60213;Pernegg an der Mur;Köllersdorf
60209;Kapfenberg;Koloman-Wallisch-Gasse
60204;Bruck an der Mur;Koloman-Wallisch-Platz
60209;Kapfenberg;Koloman-Wallisch-Platz
60210;Mariazell;König Ludwig-Gasse
60209;Kapfenberg;Konrad-Kainz-Straße
60213;Pernegg an der Mur;Kötscherstraße
60211;Oberaich;Kotzgraben
60204;Bruck an der Mur;Kreckerstraße
